delivery_year,product_type,delivery_period,price_eur_mwh,is_liquid,quote_date
2027,BASE,CAL,86.0,True,2026-06-08
2027,PEAK,CAL,108.0,True,2026-06-08
2028,BASE,CAL,83.0,True,2026-06-08
2028,PEAK,CAL,103.0,True,2026-06-08
2027,BASE,Q1,97.0,True,2026-06-08
2027,PEAK,Q1,124.0,True,2026-06-08
2027,BASE,Q2,78.0,True,2026-06-08
2027,PEAK,Q2,96.0,True,2026-06-08
2027,BASE,Q3,72.0,True,2026-06-08
2027,PEAK,Q3,88.0,True,2026-06-08
2027,BASE,Q4,100.0,True,2026-06-08
2027,PEAK,Q4,131.0,True,2026-06-08
2028,BASE,Q1,91.0,False,2026-06-08
2028,PEAK,Q1,116.0,False,2026-06-08
2028,BASE,Q2,77.0,False,2026-06-08
2028,PEAK,Q2,94.0,False,2026-06-08
2028,BASE,Q3,70.0,False,2026-06-08
2028,PEAK,Q3,86.0,False,2026-06-08
2028,BASE,Q4,94.0,False,2026-06-08
2028,PEAK,Q4,121.0,False,2026-06-08
2027,BASE,M01,101.0,True,2026-06-08
2027,PEAK,M01,132.0,True,2026-06-08
2027,BASE,M02,98.0,True,2026-06-08
2027,PEAK,M02,126.0,True,2026-06-08
2027,BASE,M03,92.0,True,2026-06-08
2027,PEAK,M03,115.0,True,2026-06-08
2027,BASE,M04,82.0,True,2026-06-08
2027,PEAK,M04,101.0,True,2026-06-08
2027,BASE,M05,75.0,True,2026-06-08
2027,PEAK,M05,91.0,True,2026-06-08
2027,BASE,M06,72.0,True,2026-06-08
2027,PEAK,M06,87.0,True,2026-06-08
2027,BASE,M07,68.0,True,2026-06-08
2027,PEAK,M07,82.0,True,2026-06-08
2027,BASE,M08,70.0,True,2026-06-08
2027,PEAK,M08,84.0,True,2026-06-08
2027,BASE,M09,77.0,True,2026-06-08
2027,PEAK,M09,94.0,True,2026-06-08
2027,BASE,M10,91.0,True,2026-06-08
2027,PEAK,M10,119.0,True,2026-06-08
2027,BASE,M11,101.0,True,2026-06-08
2027,PEAK,M11,133.0,True,2026-06-08
2027,BASE,M12,108.0,True,2026-06-08
2027,PEAK,M12,140.0,True,2026-06-08
