load_type,delivery_period,price_eur_mwh,market_activity,realized_da_average_eur_mwh,realized_gain_eur_mwh
BASE,CAL,77.26,5000,78.51203324225865,1.2520332422586478
BASE,Q1,66.42,3000,67.67396243701329,1.2539624370132856
BASE,Q2,66.23,2200,67.48315018315019,1.2531501831501828
BASE,Q3,74.74,1600,75.99314764492755,1.2531476449275516
BASE,Q4,101.39,1400,102.64435038478949,1.2543503847894897
BASE,M01,75.32,900,76.57114247311829,1.2511424731182927
BASE,M02,60.09,800,61.335847701149426,1.2458477011494224
BASE,M03,63.45,650,64.70199192462988,1.251991924629877
BASE,M04,67.11,10,62.360819444444445,-4.749180555555554
BASE,M05,60.96,8,67.21001344086021,6.250013440860208
BASE,M06,79.64,7,72.88772222222222,-6.752277777777778
BASE,M07,59.45,6,67.69702956989246,8.247029569892462
BASE,M08,84.8,5,82.04717741935485,-2.7528225806451445
BASE,M09,73.06,4,78.30997222222223,5.249972222222226
BASE,M10,91.85,3,86.09655033557046,-5.753449664429539
BASE,M11,106.66,2,113.90644444444446,7.246444444444464
BASE,M12,112.07,1,108.31559139784945,-3.754408602150548
