load_type,delivery_period,price_eur_mwh,market_activity,realized_da_average_eur_mwh,realized_gain_eur_mwh
BASE,CAL,77.26,5000,78.51203324225865,1.2520332422586478
PEAK,CAL,86.6,1400,87.85491730279898,1.2549173027989866
BASE,Q1,66.42,3000,67.67396243701329,1.2539624370132856
PEAK,Q1,77.7,840,78.94794871794872,1.2479487179487165
BASE,Q2,66.23,2200,67.48315018315019,1.2531501831501828
PEAK,Q2,64.76,616,66.00948717948718,1.2494871794871756
BASE,Q3,74.74,1600,75.99314764492755,1.2531476449275516
PEAK,Q3,69.07,448,70.32337121212122,1.2533712121212233
BASE,Q4,101.39,1400,102.64435038478949,1.2543503847894897
PEAK,Q4,134.42,392,135.67291666666668,1.2529166666666924
BASE,M01,75.32,900,76.57114247311829,1.2511424731182927
PEAK,M01,88.68,252,89.92601449275362,1.2460144927536163
BASE,M02,60.09,800,61.335847701149426,1.2458477011494224
PEAK,M02,70.59,224,71.83619047619048,1.2461904761904776
BASE,M03,63.45,650,64.70199192462988,1.251991924629877
PEAK,M03,72.79,182,74.03611111111111,1.2461111111111052
BASE,M04,67.11,10,62.360819444444445,-4.749180555555554
PEAK,M04,72.56,3,66.91382575757575,-5.646174242424252
BASE,M05,60.96,8,67.21001344086021,6.250013440860208
PEAK,M05,52.4,2,59.397427536231895,6.997427536231896
BASE,M06,79.64,7,72.88772222222222,-6.752277777777778
PEAK,M06,80.57,2,72.61858333333333,-7.95141666666666
BASE,M07,59.45,6,67.69702956989246,8.247029569892462
PEAK,M07,49.47,2,58.77213768115942,9.302137681159422
BASE,M08,84.8,5,82.04717741935485,-2.7528225806451445
PEAK,M08,74.16,1,70.80954545454546,-3.3504545454545394
BASE,M09,73.06,4,78.30997222222223,5.249972222222226
PEAK,M09,76.62,1,82.46539682539682,5.8453968253968185
BASE,M10,91.85,3,86.09655033557046,-5.753449664429539
PEAK,M10,111.59,1,104.79072463768115,-6.799275362318852
BASE,M11,106.66,2,113.90644444444446,7.246444444444464
PEAK,M11,140.84,1,148.98988095238093,8.149880952380926
BASE,M12,112.07,1,108.31559139784945,-3.754408602150548
PEAK,M12,159.75,1,155.24719696969694,-4.502803030303056
