month,hour,historical_shape_factor
1,0,0.83255374
1,1,0.79618664
1,2,0.8099944700000001
1,3,0.79599216
1,4,0.80309056
1,5,0.8459726199999998
1,6,0.9788000400000001
1,7,1.15976039
1,8,1.27868275
1,9,1.24124603
1,10,1.16860907
1,11,1.15557914
1,12,1.16394163
1,13,1.09529144
1,14,1.08906819
1,15,1.08381733
1,16,1.10190364
1,17,1.20487893
1,18,1.2116856
1,19,1.156746
1,20,1.06242492
1,21,0.99960902
1,22,0.96295021
1,23,0.88807677
2,0,0.7365796
2,1,0.71995187
2,2,0.71897948
2,3,0.70040698
2,4,0.71158938
2,5,0.76487593
2,6,0.94379428
2,7,1.11357223
2,8,1.14663323
2,9,1.08469247
2,10,1.01895943
2,11,0.9547822
2,12,0.8899243
2,13,0.84713947
2,14,0.8688236000000001
2,15,0.89906469
2,16,0.96654802
2,17,1.07671894
2,18,1.15334267
2,19,1.11600318
2,20,0.9936774900000002
2,21,0.91296976
2,22,0.9014956499999999
2,23,0.8203989600000001
3,0,0.76623727
3,1,0.72150768
3,2,0.71353414
3,3,0.70536613
3,4,0.70556061
3,5,0.77693347
3,6,0.91326147
3,7,1.01224999
3,8,1.06475864
3,9,0.97782766
3,10,0.85803016
3,11,0.82963659
3,12,0.81621772
3,13,0.77926719
3,14,0.7535963
3,15,0.78490701
3,16,0.83974937
3,17,0.95818553
3,18,1.12174024
3,19,1.20497617
3,20,0.99377473
3,21,0.92415215
3,22,0.89634202
3,23,0.8294421200000001
4,0,0.7294812099999999
4,1,0.72170216
4,2,0.71431205
4,3,0.70594956
4,4,0.72150768
4,5,0.79832588
4,6,0.93173674
4,7,1.1427437
4,8,1.1666643
4,9,1.00544332
4,10,0.9334870199999998
4,11,0.8870071500000001
4,12,0.8140784800000002
4,13,0.79113025
4,14,0.7532073399999999
4,15,0.7639035500000001
4,16,0.7584582100000001
4,17,0.82846973
4,18,0.91423385
4,19,1.05795196
4,20,1.03053078
4,21,0.9292085399999999
4,22,0.87514408
4,23,0.8094110400000001
5,0,0.77985062
5,1,0.69680917
5,2,0.68689087
5,3,0.67988972
5,4,0.66861008
5,5,0.7195629099999998
5,6,0.94184951
5,7,1.11143299
5,8,1.1203789
5,9,1.01205551
