quarter,HB,GB,LB,hour
0,19.77501092896175,17.29495081967213,17.236628415300547,0.0
1,17.992972677595628,16.821773224043717,16.57350273224044,0.25
2,16.436590163934426,16.320860655737707,16.02506830601093,0.5
3,15.104926229508198,15.825472677595627,15.575420765027323,0.75
4,14.020232240437158,15.322814207650271,15.19970218579235,1.0
5,13.160685792349726,14.846999999999998,14.895101092896175,1.25
6,12.491806010928963,14.401948087431695,14.644669398907103,1.5
7,11.97651912568306,14.0046912568306,14.436346994535521,1.75
8,11.595784153005464,13.676019125683059,14.270407103825137,2.0
9,11.315196721311475,13.415844262295082,14.125571038251366,2.25
10,11.114674863387979,13.219467213114754,13.995407103825137,2.5
11,10.956535519125683,13.105117486338798,13.874650273224045,2.75
12,10.822609289617485,13.053150273224045,13.740811475409835,3.0
13,10.725396174863388,13.10628961748634,13.611469945355191,3.25
14,10.644620218579234,13.301505464480876,13.498909836065573,3.5
15,10.626180327868852,13.654628415300547,13.39366393442623,3.75
16,10.64111475409836,14.181191256830601,13.32965300546448,4.0
17,10.718002732240437,14.796259562841529,13.314680327868851,4.25
18,10.838043715846995,15.415642076502733,13.364592896174862,4.5
19,10.99457650273224,15.913983606557377,13.510346994535519,4.75
20,11.221601092896174,16.241262295081967,13.777882513661202,5.0
21,11.662221311475408,16.43914207650273,14.196336065573771,5.25
22,12.50972131147541,16.584379781420765,14.812174863387979,5.5
23,13.944464480874316,16.788765027322405,15.669972677595629,5.75
24,16.060418032786885,17.129953551912568,16.817822404371586,6.0
25,18.62031967213115,17.66875956284153,18.370254098360654,6.25
26,21.294901639344264,18.482407103825135,20.472281420765025,6.5
27,23.764180327868853,19.651937158469945,23.254721311475407,6.75
28,25.776005464480875,21.225614754098363,26.788464480874314,7.0
29,27.38036612021858,23.278054644808744,30.870415300546448,7.25
30,28.69138524590164,25.859109289617486,35.2401912568306,7.5
31,29.84658743169399,29.02023770491803,39.61481420765027,7.75
32,30.94019398907104,32.734803278688524,43.70541530054645,8.0
33,31.953341530054647,36.62685792349727,47.154478142076506,8.25
34,32.84567486338798,40.21600546448088,49.547311475409835,8.5
35,33.57121857923497,43.0355519125683,50.47783060109289,8.75
36,34.10513934426229,44.74446448087432,49.71783060109289,9.0
37,34.483360655737705,45.56394535519125,47.65164207650273,9.25
38,34.72002459016394,45.84296448087432,44.84285245901639,9.5
39,34.87685519125683,45.95124043715847,41.84822404371585,9.75
40,34.99800273224044,46.15343715846994,39.16653278688524,10.0
41,35.1055956284153,46.50195355191257,37.0468825136612,10.25
42,35.264387978142075,46.931355191256834,35.65547267759563,10.5
43,35.522672131147544,47.44306010928962,35.21399453551913,10.75
44,35.908516393442625,47.95538524590164,35.75572950819672,11.0
45,36.44149180327869,48.35021584699454,36.762521857923495,11.25
46,37.119601092896175,48.51104918032815,37.61241530054645,11.5
47,37.96110928961748,48.272352459016396,37.63804918032787,11.75
48,38.92098360655738,47.54567213114754,36.39527049180328,12.0
49,39.80536612021858,46.40041256830601,34.25962021857924,12.25
50,40.368898907103826,44.98142349726776,31.767330601092898,12.5
51,40.39816393442623,43.394254098360655,29.507103825136614,12.75
52,39.72459836065573,41.75309289617486,27.890210382513665,13.0
53,38.52987431693989,40.17422131147541,26.883284153005466,13.25
54,37.05614480874317,38.73454098360656,26.280950819672128,13.5
55,35.56971857923497,37.538740437158474,25.909967213114754,13.75
56,34.26462021857924,36.67523770491803,25.5958087431694,14.0
57,33.16424863387978,36.145016393442624,25.33028961748634,14.25
58,32.198207650273226,35.93944535519125,25.116390710382515,14.5
59,31.32897540983607,36.03786885245902,24.948142076502734,14.75
60,30.520352459016394,36.416292349726774,24.83836885245902,15.0
61,29.793442622950817,36.92180601092896,24.77845628415301,15.25
62,29.16166120218579,37.39560928961748,24.764229508196724,15.5
63,28.659830601092896,37.66473770491803,24.795475409836065,15.75
64,28.310191256830603,37.6079043715847,24.86924863387978,16.0
65,28.19538524590164,37.381245901639346,25.106945355191257,16.25
66,28.386713114754098,37.16686065573771,25.635685792349726,16.5
67,28.977622950819672,37.172008196721315,26.586341530054646,16.75
68,30.007721311475407,37.48504644808743,28.072581967213114,17.0
69,31.406005464480874,37.84663661202186,30.127166666666664,17.25
70,33.070442622950814,37.92023770491804,32.77531967213115,17.5
71,34.89284699453552,37.33454918032787,36.03335245901639,17.75
72,36.778622950819674,35.862800546448085,39.84707650273224,18.0
73,38.648043715846995,33.74246721311476,43.78703551912568,18.25
74,40.45474043715847,31.315669398907104,47.372945355191256,18.5
75,42.128265027322406,28.952035519125683,50.108398907103826,18.75
76,43.59653005464487,26.929620218579235,51.59602185792369,19.0
77,44.71296994535519,25.305076502732238,51.806412568306015,19.25
78,45.292909836065576,24.09693989071038,50.81464207650273,19.5
79,45.15858196721312,23.28435792349727,48.70386065573771,19.75
80,44.23843715846994,22.84726229508197,45.606959016393446,20.0
81,42.76465300546448,22.653144808743168,41.92934426229508,20.25
82,41.076587431693994,22.535049180327867,38.136437158469946,20.5
83,39.49137158469946,22.334803278688526,34.70520765027322,20.75
84,38.26566120218579,21.935715846994533,31.987000000000002,21.0
85,37.314964480874316,21.39166120218579,29.91904644808743,21.25
86,36.48795628415301,20.801699453551915,28.30557650273224,21.5
87,35.61944262295082,20.249158469945357,26.96632240437158,21.75
88,34.57222677595628,19.818390710382513,25.73870218579235,22.0
89,33.31015300546448,19.490521857923497,24.56743989071038,22.25
90,31.8110218579235,19.217732240437158,23.439303278688524,22.5
91,30.06646174863388,18.929939890710383,22.297803278688527,22.75
92,28.076101092896174,18.610142076502733,21.142620218579236,23.0
93,25.92003005464481,18.243912568306012,20.00625956284153,23.25
94,23.69754918032787,17.82479781420765,18.928964480874317,23.5
95,21.504303278688525,17.351803278688525,17.960398907103826,23.75
