timestamp_utc,timestamp_local,hb_normalized_kwh,gb_normalized_kwh,lb_normalized_kwh
2023-12-31T23:00:00Z,2024-01-01T00:00:00+01:00,27.11,15.705,17.028
2023-12-31T23:15:00Z,2024-01-01T00:15:00+01:00,25.127,15.158,16.454
2023-12-31T23:30:00Z,2024-01-01T00:30:00+01:00,23.237,14.636,16.03
2023-12-31T23:45:00Z,2024-01-01T00:45:00+01:00,21.409,14.164,15.706
2024-01-01T00:00:00Z,2024-01-01T01:00:00+01:00,19.643,13.741,15.482
2024-01-01T00:15:00Z,2024-01-01T01:15:00+01:00,18.031,13.344,15.308
2024-01-01T00:30:00Z,2024-01-01T01:30:00+01:00,16.606,12.946,15.158
2024-01-01T00:45:00Z,2024-01-01T01:45:00+01:00,15.46,12.549,15.008
2024-01-01T01:00:00Z,2024-01-01T02:00:00+01:00,14.654,12.101,14.834
2024-01-01T01:15:00Z,2024-01-01T02:15:00+01:00,14.097,11.654,14.659
2024-01-01T01:30:00Z,2024-01-01T02:30:00+01:00,13.694,11.231,14.46
2024-01-01T01:45:00Z,2024-01-01T02:45:00+01:00,13.415,10.908,14.31
2024-01-01T02:00:00Z,2024-01-01T03:00:00+01:00,13.136,10.685,14.211
2024-01-01T02:15:00Z,2024-01-01T03:15:00+01:00,12.857,10.56,14.136
2024-01-01T02:30:00Z,2024-01-01T03:30:00+01:00,12.61,10.486,14.111
2024-01-01T02:45:00Z,2024-01-01T03:45:00+01:00,12.393,10.436,14.086
2024-01-01T03:00:00Z,2024-01-01T04:00:00+01:00,12.176,10.411,14.061
2024-01-01T03:15:00Z,2024-01-01T04:15:00+01:00,12.021,10.387,14.086
2024-01-01T03:30:00Z,2024-01-01T04:30:00+01:00,11.928,10.387,14.161
2024-01-01T03:45:00Z,2024-01-01T04:45:00+01:00,11.866,10.436,14.31
2024-01-01T04:00:00Z,2024-01-01T05:00:00+01:00,11.866,10.585,14.585
2024-01-01T04:15:00Z,2024-01-01T05:15:00+01:00,11.897,10.784,15.083
2024-01-01T04:30:00Z,2024-01-01T05:30:00+01:00,11.99,11.033,15.881
2024-01-01T04:45:00Z,2024-01-01T05:45:00+01:00,12.114,11.381,17.078
2024-01-01T05:00:00Z,2024-01-01T06:00:00+01:00,12.3,11.778,18.773
2024-01-01T05:15:00Z,2024-01-01T06:15:00+01:00,12.517,12.176,20.966
2024-01-01T05:30:00Z,2024-01-01T06:30:00+01:00,12.795,12.524,23.634
2024-01-01T05:45:00Z,2024-01-01T06:45:00+01:00,13.136,12.772,26.775
2024-01-01T06:00:00Z,2024-01-01T07:00:00+01:00,13.632,12.872,30.39
2024-01-01T06:15:00Z,2024-01-01T07:15:00+01:00,14.437,12.847,34.353
2024-01-01T06:30:00Z,2024-01-01T07:30:00+01:00,15.832,12.722,38.641
2024-01-01T06:45:00Z,2024-01-01T07:45:00+01:00,18.062,12.549,43.178
2024-01-01T07:00:00Z,2024-01-01T08:00:00+01:00,21.253,12.325,47.79
2024-01-01T07:15:00Z,2024-01-01T08:15:00+01:00,25.188,12.176,52.003
2024-01-01T07:30:00Z,2024-01-01T08:30:00+01:00,29.495,12.126,55.194
2024-01-01T07:45:00Z,2024-01-01T08:45:00+01:00,33.77,12.3,56.815
2024-01-01T08:00:00Z,2024-01-01T09:00:00+01:00,37.767,12.747,56.44
