month,hpfc_eur_mwh,realized_day_ahead_eur_mwh
1,75.3200000873656,76.57114247311829
2,60.08999995833333,61.335847701149426
3,63.45000001076716,64.70199192462988
4,62.10751800277778,62.360819444444445
5,60.63373794623656,67.21001344086021
6,76.13528609722222,72.88772222222222
7,64.75916741935484,67.69702956989246
8,70.08240897043011,82.04717741935484
9,89.86637104583333,78.30997222222223
10,93.36178871275168,86.09655033557047
11,114.47732300416666,113.90644444444445
12,96.76385066935484,108.31559139784946
