hour,hpfc_price_eur_mwh,is_peak,local
2024-01-14 23:00:00+00:00,59.923133,0,2024-01-15 00:00:00+01:00
2024-01-15 00:00:00+00:00,57.305607,0,2024-01-15 01:00:00+01:00
2024-01-15 01:00:00+00:00,58.299427,0,2024-01-15 02:00:00+01:00
2024-01-15 02:00:00+00:00,57.29161,0,2024-01-15 03:00:00+01:00
2024-01-15 03:00:00+00:00,57.802518,0,2024-01-15 04:00:00+01:00
2024-01-15 04:00:00+00:00,60.888958,0,2024-01-15 05:00:00+01:00
2024-01-15 05:00:00+00:00,70.449224,0,2024-01-15 06:00:00+01:00
2024-01-15 06:00:00+00:00,83.473862,0,2024-01-15 07:00:00+01:00
2024-01-15 07:00:00+00:00,97.532734,1,2024-01-15 08:00:00+01:00
2024-01-15 08:00:00+00:00,94.677213,1,2024-01-15 09:00:00+01:00
2024-01-15 09:00:00+00:00,89.13676,1,2024-01-15 10:00:00+01:00
2024-01-15 10:00:00+00:00,88.14289,1,2024-01-15 11:00:00+01:00
2024-01-15 11:00:00+00:00,88.780747,1,2024-01-15 12:00:00+01:00
2024-01-15 12:00:00+00:00,83.544389,1,2024-01-15 13:00:00+01:00
2024-01-15 13:00:00+00:00,83.069704,1,2024-01-15 14:00:00+01:00
2024-01-15 14:00:00+00:00,82.66919,1,2024-01-15 15:00:00+01:00
2024-01-15 15:00:00+00:00,84.04874,1,2024-01-15 16:00:00+01:00
2024-01-15 16:00:00+00:00,91.903278,1,2024-01-15 17:00:00+01:00
2024-01-15 17:00:00+00:00,92.422463,1,2024-01-15 18:00:00+01:00
2024-01-15 18:00:00+00:00,88.231893,1,2024-01-15 19:00:00+01:00
2024-01-15 19:00:00+00:00,76.468132,0,2024-01-15 20:00:00+01:00
2024-01-15 20:00:00+00:00,71.946952,0,2024-01-15 21:00:00+01:00
2024-01-15 21:00:00+00:00,69.308431,0,2024-01-15 22:00:00+01:00
2024-01-15 22:00:00+00:00,63.919408,0,2024-01-15 23:00:00+01:00
2024-01-15 23:00:00+00:00,59.923133,0,2024-01-16 00:00:00+01:00
2024-01-16 00:00:00+00:00,57.305607,0,2024-01-16 01:00:00+01:00
2024-01-16 01:00:00+00:00,58.299427,0,2024-01-16 02:00:00+01:00
2024-01-16 02:00:00+00:00,57.29161,0,2024-01-16 03:00:00+01:00
2024-01-16 03:00:00+00:00,57.802518,0,2024-01-16 04:00:00+01:00
2024-01-16 04:00:00+00:00,60.888958,0,2024-01-16 05:00:00+01:00
2024-01-16 05:00:00+00:00,70.449224,0,2024-01-16 06:00:00+01:00
2024-01-16 06:00:00+00:00,83.473862,0,2024-01-16 07:00:00+01:00
2024-01-16 07:00:00+00:00,97.532734,1,2024-01-16 08:00:00+01:00
2024-01-16 08:00:00+00:00,94.677213,1,2024-01-16 09:00:00+01:00
2024-01-16 09:00:00+00:00,89.13676,1,2024-01-16 10:00:00+01:00
2024-01-16 10:00:00+00:00,88.14289,1,2024-01-16 11:00:00+01:00
2024-01-16 11:00:00+00:00,88.780747,1,2024-01-16 12:00:00+01:00
2024-01-16 12:00:00+00:00,83.544389,1,2024-01-16 13:00:00+01:00
2024-01-16 13:00:00+00:00,83.069704,1,2024-01-16 14:00:00+01:00
2024-01-16 14:00:00+00:00,82.66919,1,2024-01-16 15:00:00+01:00
2024-01-16 15:00:00+00:00,84.04874,1,2024-01-16 16:00:00+01:00
2024-01-16 16:00:00+00:00,91.903278,1,2024-01-16 17:00:00+01:00
2024-01-16 17:00:00+00:00,92.422463,1,2024-01-16 18:00:00+01:00
2024-01-16 18:00:00+00:00,88.231893,1,2024-01-16 19:00:00+01:00
2024-01-16 19:00:00+00:00,76.468132,0,2024-01-16 20:00:00+01:00
2024-01-16 20:00:00+00:00,71.946952,0,2024-01-16 21:00:00+01:00
2024-01-16 21:00:00+00:00,69.308431,0,2024-01-16 22:00:00+01:00
2024-01-16 22:00:00+00:00,63.919408,0,2024-01-16 23:00:00+01:00
2024-01-16 23:00:00+00:00,59.923133,0,2024-01-17 00:00:00+01:00
2024-01-17 00:00:00+00:00,57.305607,0,2024-01-17 01:00:00+01:00
2024-01-17 01:00:00+00:00,58.299427,0,2024-01-17 02:00:00+01:00
2024-01-17 02:00:00+00:00,57.29161,0,2024-01-17 03:00:00+01:00
2024-01-17 03:00:00+00:00,57.802518,0,2024-01-17 04:00:00+01:00
