load_type,delivery_period,is_calibration_product,market_activity,futures_price_eur_mwh,hpfc_block_average_eur_mwh,difference_eur_mwh,status
BASE,CAL,0,5000,77.26,77.25942851,-0.00057149,OK_CROSS_CHECK
PEAK,CAL,0,1400,86.6,86.60442749,0.00442749,OK_CROSS_CHECK
BASE,Q1,0,3000,66.42,66.42421898,0.00421898,OK_CROSS_CHECK
PEAK,Q1,0,840,77.7,77.70184618,0.00184618,OK_CROSS_CHECK
BASE,Q2,1,2200,66.23,66.22999999,-1e-08,OK_CALIBRATED
PEAK,Q2,1,616,64.76,64.75999995,-5e-08,OK_CALIBRATED
BASE,Q3,1,1600,74.74,74.73999999,-1e-08,OK_CALIBRATED
PEAK,Q3,1,448,69.07,69.07000003,3e-08,OK_CALIBRATED
BASE,Q4,1,1400,101.39,101.39000002,2e-08,OK_CALIBRATED
PEAK,Q4,1,392,134.42,134.42000003,3e-08,OK_CALIBRATED
BASE,M01,1,900,75.32,75.32000009,9e-08,OK_CALIBRATED
PEAK,M01,1,252,88.68,88.68000008,8e-08,OK_CALIBRATED
BASE,M02,1,800,60.09,60.08999996,-4e-08,OK_CALIBRATED
PEAK,M02,1,224,70.59,70.59,0.0,OK_CALIBRATED
BASE,M03,1,650,63.45,63.45000001,1e-08,OK_CALIBRATED
PEAK,M03,1,182,72.79,72.79,0.0,OK_CALIBRATED
