load_type,delivery_period,is_calibration_product,market_activity,futures_price_eur_mwh,hpfc_block_average_eur_mwh,difference_eur_mwh,status
BASE,CAL,0,5000,77.26,77.25942851,-0.00057149,OK_CROSS_CHECK
PEAK,CAL,0,1400,86.6,86.60442749,0.00442749,OK_CROSS_CHECK
BASE,Q1,0,3000,66.42,66.42421898,0.00421898,OK_CROSS_CHECK
PEAK,Q1,0,840,77.7,77.70184618,0.00184618,OK_CROSS_CHECK
BASE,Q2,1,2200,66.23,66.22999999,-1e-08,OK_CALIBRATED
PEAK,Q2,1,616,64.76,64.75999995,-5e-08,OK_CALIBRATED
BASE,Q3,1,1600,74.74,74.73999999,-1e-08,OK_CALIBRATED
PEAK,Q3,1,448,69.07,69.07000003,3e-08,OK_CALIBRATED
BASE,Q4,1,1400,101.39,101.39000002,2e-08,OK_CALIBRATED
PEAK,Q4,1,392,134.42,134.42000003,3e-08,OK_CALIBRATED
BASE,M01,1,900,75.32,75.32000009,9e-08,OK_CALIBRATED
PEAK,M01,1,252,88.68,88.68000008,8e-08,OK_CALIBRATED
BASE,M02,1,800,60.09,60.08999996,-4e-08,OK_CALIBRATED
PEAK,M02,1,224,70.59,70.59,0.0,OK_CALIBRATED
BASE,M03,1,650,63.45,63.45000001,1e-08,OK_CALIBRATED
PEAK,M03,1,182,72.79,72.79,0.0,OK_CALIBRATED
BASE,M04,0,10,67.11,62.107518,-5.002482,NOT_USED_ILLIQUID
PEAK,M04,0,3,72.56,59.18321542,-13.37678458,NOT_USED_ILLIQUID
BASE,M05,0,8,60.96,60.63373795,-0.32626205,NOT_USED_ILLIQUID
PEAK,M05,0,2,52.4,59.43877092,7.03877092,NOT_USED_ILLIQUID
BASE,M06,0,7,79.64,76.1352861,-3.5047139,NOT_USED_ILLIQUID
PEAK,M06,0,2,80.57,77.01387633,-3.55612367,NOT_USED_ILLIQUID
BASE,M07,0,6,59.45,64.75916742,5.30916742,NOT_USED_ILLIQUID
PEAK,M07,0,2,49.47,54.72600342,5.25600342,NOT_USED_ILLIQUID
BASE,M08,0,5,84.8,70.08240897,-14.71759103,NOT_USED_ILLIQUID
PEAK,M08,0,1,74.16,66.37868192,-7.78131808,NOT_USED_ILLIQUID
BASE,M09,0,4,73.06,89.86637105,16.80637105,NOT_USED_ILLIQUID
PEAK,M09,0,1,76.62,87.59956767,10.97956767,NOT_USED_ILLIQUID
BASE,M10,0,3,91.85,93.36178871,1.51178871,NOT_USED_ILLIQUID
PEAK,M10,0,1,111.59,109.43911683,-2.15088317,NOT_USED_ILLIQUID
BASE,M11,0,2,106.66,114.477323,7.817323,NOT_USED_ILLIQUID
PEAK,M11,0,1,140.84,166.70272758,25.86272758,NOT_USED_ILLIQUID
BASE,M12,0,1,112.07,96.76385067,-15.30614933,NOT_USED_ILLIQUID
PEAK,M12,0,1,159.75,129.72104708,-30.02895292,NOT_USED_ILLIQUID
