month,strategy,forecast_energy_mwh,actual_energy_mwh,imbalance_volume_mwh,fixed_futures_cost_eur,day_ahead_scheduled_cost_eur,futures_payoff_eur,forecast_procurement_cost_eur,imbalance_settlement_eur,imbalance_premium_eur,final_procurement_cost_eur,final_average_price_eur_mwh,saving_vs_unhedged_eur,saving_vs_unhedged_eur_mwh,absolute_open_day_ahead_volume_mwh
2024-01,UNHEDGED,4266.445155,4283.25215978,16.80700478,0.0,347001.69192125,0.0,347001.69192125,1626.39377754,251.34558994,348628.08569879,81.39331347,0.0,0.0,4266.445155
2024-02,UNHEDGED,3898.346562,3933.59986922,35.25330722,0.0,253640.41180469,0.0,253640.41180469,1578.11359848,-704.76111259,255218.52540317,64.88166918,0.0,0.0,3898.346562
2024-03,UNHEDGED,3930.237981,3967.70122271,37.46324171,0.0,260237.26481129,0.0,260237.26481129,4026.90619155,1698.80708851,264264.17100284,66.60384847,0.0,0.0,3930.237981
2024-04,UNHEDGED,3548.440942,3556.84729518,8.40635318,0.0,224229.79218063,0.0,224229.79218063,872.94783265,373.50151189,225102.74001328,63.28715329,0.0,0.0,3548.440942
2024-05,UNHEDGED,3367.841365,3325.24083843,-42.60052657,0.0,220958.66588772,0.0,220958.66588772,-82.96183135,1421.8584017,220875.70405637,66.42397191,0.0,0.0,3367.841365
2024-06,UNHEDGED,3073.390725,3108.6364379,35.2457129,0.0,222167.244131,0.0,222167.244131,9396.96110944,7094.98039094,231564.20524044,74.4906038,0.0,0.0,3073.390725
2024-07,UNHEDGED,3081.666338,3088.11319086,6.44685286,0.0,205193.54144518,0.0,205193.54144518,1511.47478181,914.85036476,206705.01622699,66.93569939,0.0,0.0,3081.666338
2024-08,UNHEDGED,3143.987629,3103.68760887,-40.30002013,0.0,252512.19086648,0.0,252512.19086648,-4478.98879667,-1008.53682459,248033.20206981,79.91564659,0.0,0.0,3143.987629
2024-09,UNHEDGED,3199.165649,3230.85804289,31.69239389,0.0,253215.21737725,0.0,253215.21737725,1735.67843012,-273.50255777,254950.89580737,78.91120329,0.0,0.0,3199.165649
2024-10,UNHEDGED,3591.359306,3678.99003669,87.63073069,0.0,326351.3721063,0.0,326351.3721063,8404.65849482,232.80683053,334756.03060112,90.99128491,0.0,0.0,3591.359306
2024-11,UNHEDGED,3726.491235,3735.99938926,9.50815426,0.0,451681.66318285,0.0,451681.66318285,3047.44576972,881.25258403,454729.10895257,121.71552015,0.0,0.0,3726.491235
2024-12,UNHEDGED,4172.627113,4125.07390819,-47.55320481,0.0,489514.935269,0.0,489514.935269,2865.21044047,2706.64165248,492380.14570947,119.36274517,0.0,0.0,4172.627113
