timestamp_utc,timestamp_local,forecast_load_mw,actual_load_mw,forecast_error_mw,imbalance_price_eur_mwh
2024-01-15T00:00:00Z,2024-01-15T01:00:00+01:00,2.480492,2.52438616,0.04389416,119.34
2024-01-15T00:15:00Z,2024-01-15T01:15:00+01:00,2.353672,2.39404364,0.04037164,110.36
2024-01-15T00:30:00Z,2024-01-15T01:30:00+01:00,2.268908,2.30968155,0.04077355,115.58
2024-01-15T00:45:00Z,2024-01-15T01:45:00+01:00,2.211996,2.247554,0.035558,106.79
2024-01-15T01:00:00Z,2024-01-15T02:00:00+01:00,2.173428,2.20005365,0.02662565,111.98
2024-01-15T01:15:00Z,2024-01-15T02:15:00+01:00,2.145272,2.17302422,0.02775222,18.64
2024-01-15T01:30:00Z,2024-01-15T02:30:00+01:00,2.132216,2.15619963,0.02398363,106.34
2024-01-15T01:45:00Z,2024-01-15T02:45:00+01:00,2.117088,2.14105933,0.02397133,107.34
2024-01-15T02:00:00Z,2024-01-15T03:00:00+01:00,2.104104,2.13124749,0.02714349,18.75
2024-01-15T02:15:00Z,2024-01-15T03:15:00+01:00,2.09906,2.12353632,0.02447632,19.26
2024-01-15T02:30:00Z,2024-01-15T03:30:00+01:00,2.09386,2.11903214,0.02517214,19.54
2024-01-15T02:45:00Z,2024-01-15T03:45:00+01:00,2.105588,2.12279849,0.01721049,18.97
2024-01-15T03:00:00Z,2024-01-15T04:00:00+01:00,2.126232,2.14266679,0.01643479,20.26
2024-01-15T03:15:00Z,2024-01-15T04:15:00+01:00,2.162352,2.19128907,0.02893707,113.84
2024-01-15T03:30:00Z,2024-01-15T04:30:00+01:00,2.202696,2.22801141,0.02531541,121.68
2024-01-15T03:45:00Z,2024-01-15T04:45:00+01:00,2.248792,2.27542879,0.02663679,112.25
2024-01-15T04:00:00Z,2024-01-15T05:00:00+01:00,2.300016,2.34657008,0.04655408,103.87
2024-01-15T04:15:00Z,2024-01-15T05:15:00+01:00,2.40676,2.46118528,0.05442528,123.66
2024-01-15T04:30:00Z,2024-01-15T05:30:00+01:00,2.621,2.67319627,0.05219627,133.05
2024-01-15T04:45:00Z,2024-01-15T05:45:00+01:00,2.995964,3.07182307,0.07585907,175.26
2024-01-15T05:00:00Z,2024-01-15T06:00:00+01:00,3.56152,3.65651372,0.09499372,149.41
2024-01-15T05:15:00Z,2024-01-15T06:15:00+01:00,4.251372,4.36032493,0.10895293,150.59
2024-01-15T05:30:00Z,2024-01-15T06:30:00+01:00,4.970408,5.05462026,0.08421226,306.87
2024-01-15T05:45:00Z,2024-01-15T06:45:00+01:00,5.626184,5.70771471,0.08153071,182.94
2024-01-15T06:00:00Z,2024-01-15T07:00:00+01:00,6.145596,6.2561064,0.1105104,120.37
2024-01-15T06:15:00Z,2024-01-15T07:15:00+01:00,6.539984,6.64191795,0.10193395,138.75
2024-01-15T06:30:00Z,2024-01-15T07:30:00+01:00,6.836204,6.93558912,0.09938512,165.67
2024-01-15T06:45:00Z,2024-01-15T07:45:00+01:00,7.064212,7.14016794,0.07595594,154.82
2024-01-15T07:00:00Z,2024-01-15T08:00:00+01:00,7.250084,7.30065313,0.05056913,143.3
2024-01-15T07:15:00Z,2024-01-15T08:15:00+01:00,7.389084,7.4520634,0.0629794,171.18
2024-01-15T07:30:00Z,2024-01-15T08:30:00+01:00,7.463432,7.51817761,0.05474561,177.05
2024-01-15T07:45:00Z,2024-01-15T08:45:00+01:00,7.467144,7.53721562,0.07007162,195.33
2024-01-15T08:00:00Z,2024-01-15T09:00:00+01:00,7.389468,7.49257438,0.10310638,67.69
2024-01-15T08:15:00Z,2024-01-15T09:15:00+01:00,7.262284,7.34517732,0.08289332,140.74
2024-01-15T08:30:00Z,2024-01-15T09:30:00+01:00,7.107068,7.15114614,0.04407814,135.34
2024-01-15T08:45:00Z,2024-01-15T09:45:00+01:00,6.96892,6.94185775,-0.02706225,124.0
2024-01-15T09:00:00Z,2024-01-15T10:00:00+01:00,6.868972,6.82354667,-0.04542533,139.04
2024-01-15T09:15:00Z,2024-01-15T10:15:00+01:00,6.804688,6.79980455,-0.00488345,137.53
2024-01-15T09:30:00Z,2024-01-15T10:30:00+01:00,6.775716,6.78143841,0.00572241,134.01
2024-01-15T09:45:00Z,2024-01-15T10:45:00+01:00,6.781844,6.80421549,0.02237149,148.84
2024-01-15T10:00:00Z,2024-01-15T11:00:00+01:00,6.81618,6.87307126,0.05689126,62.67
2024-01-15T10:15:00Z,2024-01-15T11:15:00+01:00,6.873772,6.95128151,0.07750951,64.47
2024-01-15T10:30:00Z,2024-01-15T11:30:00+01:00,6.957376,7.02406139,0.06668539,135.04
2024-01-15T10:45:00Z,2024-01-15T11:45:00+01:00,7.06782,7.09925286,0.03143286,135.05
2024-01-15T11:00:00Z,2024-01-15T12:00:00+01:00,7.196864,7.22906882,0.03220482,166.04
2024-01-15T11:15:00Z,2024-01-15T12:15:00+01:00,7.316164,7.3719989,0.0558349,470.76
2024-01-15T11:30:00Z,2024-01-15T12:30:00+01:00,7.38842,7.4348225,0.0464025,2000.0
2024-01-15T11:45:00Z,2024-01-15T12:45:00+01:00,7.388196,7.38548119,-0.00271481,169.3
2024-01-15T12:00:00Z,2024-01-15T13:00:00+01:00,7.289452,7.25719754,-0.03225446,160.53
2024-01-15T12:15:00Z,2024-01-15T13:15:00+01:00,7.118044,7.06891696,-0.04912704,165.5
2024-01-15T12:30:00Z,2024-01-15T13:30:00+01:00,6.906524,6.88682676,-0.01969724,167.27
2024-01-15T12:45:00Z,2024-01-15T13:45:00+01:00,6.696764,6.66273774,-0.03402626,51.95
2024-01-15T13:00:00Z,2024-01-15T14:00:00+01:00,6.51232,6.48303736,-0.02928264,72.97
2024-01-15T13:15:00Z,2024-01-15T14:15:00+01:00,6.360704,6.36271566,0.00201166,124.0
2024-01-15T13:30:00Z,2024-01-15T14:30:00+01:00,6.236352,6.22775841,-0.00859359,67.54
