seed,score,portfolio_nmae,annual_actual_energy_mwh,annual_energy_bias,imbalance_settlement_eur,imbalance_settlement_eur_mwh,imbalance_premium_eur,imbalance_premium_eur_mwh,minimum_actual_factor,maximum_actual_factor,clipped_quarter_hours,unhedged_monthly_price_std,coarse_monthly_price_std,granular_monthly_price_std
173,0.16522114,0.01967364,43138.0,0.0032093,30503.83979857,0.70712225,13589.24391983,0.31501794,0.80934246,1.2091628,0,20.15327243,2.43238212,18.56308745
398,0.19628931,0.01982377,43138.0,0.0032093,20865.44483452,0.48369059,12666.80496022,0.2936345,0.81635607,1.20933977,0,19.95998142,2.0692812,18.41617004
391,0.27769186,0.01913031,43138.0,0.0032093,16332.89552378,0.37861967,13531.79206274,0.31368613,0.79468672,1.19675656,0,19.80338049,1.77347157,18.21391107
481,0.29252146,0.01923029,43138.0,0.0032093,31753.75517712,0.73609706,13005.98123929,0.30149708,0.79966642,1.19237346,0,19.94264762,2.26621352,18.49218376
149,0.29703123,0.01872654,43138.0,0.0032093,28016.99764415,0.64947373,15737.5632974,0.36481903,0.78912267,1.19891192,0,19.75704075,2.1241904,18.22695713
153,0.30035037,0.01940213,43138.0,0.0032093,30843.92939185,0.71500601,12368.8786757,0.28672814,0.82265225,1.22732923,0,20.07356874,2.32205488,18.56202751
493,0.3210742,0.01962822,43138.0,0.0032093,26489.78826425,0.61407085,11373.28957802,0.26364898,0.80131401,1.22255768,0,19.78772935,2.20980092,18.39495394
110,0.32652766,0.01893976,43138.0,0.0032093,26459.66147282,0.61337247,13369.8597885,0.30993231,0.79422431,1.19999193,0,20.23968288,2.4954798,18.73256376
311,0.36287786,0.01976289,43138.0,0.0032093,23454.18330437,0.54370122,10335.46012473,0.23959062,0.81321347,1.24863562,0,20.15126065,2.6094283,18.72987421
215,0.36455585,0.01928933,43138.0,0.0032093,27425.27035136,0.63575665,11740.10284332,0.27215223,0.81145132,1.19417156,0,20.03713865,2.40776608,18.48809084
36,0.38699884,0.01897374,43138.0,0.0032093,28802.18689174,0.66767553,12354.22941628,0.28638855,0.80308959,1.22307517,0,20.28072371,2.71483793,18.74739361
25,0.40056285,0.01952585,43138.0,0.0032093,22274.63664859,0.51635766,10482.24488681,0.2429933,0.78492115,1.21011822,0,20.0950682,2.37916412,18.67092957
438,0.40385718,0.01947778,43138.0,0.0032093,19504.61857649,0.45214471,10577.67079363,0.24520541,0.80461043,1.20301355,0,19.8270525,2.10756516,18.33422492
90,0.41882928,0.01947498,43138.0,0.0032093,20145.64186044,0.46700454,10360.06950743,0.2401611,0.81948334,1.20806629,0,19.8741301,2.1749146,18.51752963
21,0.4263821,0.01916797,43138.0,0.0032093,31323.75872511,0.72612914,11173.08794353,0.25900802,0.80285439,1.22834048,0,20.11545655,2.63428624,18.76444756
288,0.42954143,0.01893229,43138.0,0.0032093,21254.86848416,0.49271799,11837.08804047,0.27440048,0.81706223,1.20562839,0,19.84715645,2.06901125,18.36543085
404,0.4336313,0.01876065,43138.0,0.0032093,22217.11909835,0.51502432,12293.62133548,0.28498357,0.81111723,1.21263912,0,19.93013331,2.06521532,18.47290087
118,0.43854473,0.01896203,43138.0,0.0032093,24225.8473931,0.56158949,11611.33683938,0.26916725,0.83338807,1.19832425,0,19.95073028,2.19157427,18.45409631
293,0.44521455,0.01908732,43138.0,0.0032093,28040.95650966,0.65002913,11132.31469843,0.25806284,0.81757361,1.23101275,0,19.79157239,2.29350588,18.34591734
56,0.4529336,0.01987819,43138.0,0.0032093,27442.15431006,0.63614804,8627.59513195,0.19999989,0.81506929,1.21497171,0,20.3468687,2.57292288,18.79932266
298,0.47766356,0.01894331,43138.0,0.0032093,21275.87510808,0.49320495,11077.25171844,0.2567864,0.83586171,1.2318192,0,19.89032403,2.07359579,18.31530132
389,0.48033976,0.01897411,43138.0,0.0032093,23406.89576935,0.54260503,10943.83103551,0.25369352,0.80211312,1.21476622,0,20.03135258,2.19093135,18.54532247
79,0.50024618,0.01938181,43138.0,0.0032093,19890.3823975,0.46108726,9412.14437223,0.21818685,0.80263293,1.18629841,0,19.68240487,2.17366131,18.24007889
70,0.50336339,0.01923864,43138.0,0.0032093,19193.85552886,0.44494078,9797.41217179,0.2271179,0.78644943,1.20399997,0,20.04437372,2.22830935,18.55575847
53,0.50491302,0.0192006,43138.0,0.0032093,20133.8943142,0.46673222,9888.89760911,0.22923867,0.82050021,1.22103777,0,19.87622657,2.11364108,18.42114326
363,0.5053794,0.01951996,43138.0,0.0032093,19294.19717092,0.44726685,8917.49945329,0.20672028,0.80860215,1.20651415,0,19.8561778,2.11145484,18.42768203
6,0.50568612,0.01885976,43138.0,0.0032093,20396.81394002,0.47282707,10906.43172475,0.25282655,0.81901876,1.19352465,0,19.96859833,2.10534628,18.50357598
427,0.50998544,0.01900843,43138.0,0.0032093,20614.25982644,0.47786777,10392.60585612,0.24091534,0.80297158,1.19248968,0,20.32574507,2.70801275,18.84996805
60,0.51517048,0.01962263,43138.0,0.0032093,17895.37633747,0.4148402,8459.62333325,0.19610606,0.80639642,1.20651688,0,19.87627956,1.97605574,18.3245857
431,0.51703926,0.01918458,43138.0,0.0032093,20504.06182022,0.47531322,9754.17858139,0.22611569,0.82630309,1.22240802,0,19.85962869,2.01833194,18.35781747
31,0.51910949,0.01911605,43138.0,0.0032093,27830.56621224,0.64515198,9929.853915,0.23018809,0.82270318,1.21167771,0,20.14322836,2.54847682,18.63843226
179,0.52362102,0.01994156,43138.0,0.0032093,22985.36100321,0.53283326,7368.97282845,0.17082324,0.81265516,1.20251478,0,19.93747026,2.19350448,18.52350563
150,0.53091689,0.01923019,43138.0,0.0032093,22574.78900561,0.52331562,9406.90908413,0.21806549,0.80246837,1.19778133,0,19.9422153,2.41499259,18.52647463
223,0.54256286,0.01929723,43138.0,0.0032093,27041.47822982,0.6268598,9028.65110855,0.20929693,0.79606929,1.18441513,0,19.98010329,2.25862692,18.52060813
143,0.55065403,0.0199281,43138.0,0.0032093,12326.4332257,0.2857442,7001.48344804,0.16230431,0.82533592,1.20014879,0,19.58013585,1.76567509,18.15316686
231,0.5545819,0.01906622,43138.0,0.0032093,17605.36477416,0.40811732,9544.74314032,0.22126068,0.82154056,1.23472727,0,19.93632476,2.08971986,18.37721309
211,0.55559023,0.01918827,43138.0,0.0032093,25186.59625735,0.58386101,9160.97041948,0.21236428,0.81200976,1.21108155,0,19.75518896,1.97913159,18.27531637
155,0.56373575,0.01985379,43138.0,0.0032093,26009.10599186,0.60292795,7028.35808361,0.16292731,0.80515536,1.19173449,0,20.2311468,2.53656747,18.76832108
220,0.56604325,0.01926607,43138.0,0.0032093,16670.80111751,0.38645281,8768.22548283,0.2032599,0.8164389,1.19251986,0,19.93856711,2.17491821,18.53947061
473,0.5759309,0.01931328,43138.0,0.0032093,22563.22785215,0.52304761,8476.38643655,0.19649466,0.80251223,1.19448018,0,19.77789766,2.14557765,18.32714612
108,0.57800033,0.01862323,43138.0,0.0032093,21190.01450163,0.49121458,10528.86993384,0.24407413,0.8070305,1.27263718,0,19.8480182,2.05969069,18.41793786
376,0.58107421,0.01937934,43138.0,0.0032093,24057.40486475,0.55768475,8199.24992883,0.19007024,0.77463091,1.20463249,0,19.94935995,2.28576953,18.53559455
258,0.59258743,0.0189841,43138.0,0.0032093,19927.3548558,0.46194434,9218.90656678,0.21370732,0.81884429,1.19599883,0,19.7611564,2.03324305,18.34938662
176,0.60482487,0.01959774,43138.0,0.0032093,23289.99015589,0.53989499,7181.17329338,0.16646978,0.80810112,1.19561238,0,20.09398742,2.27294968,18.49835394
476,0.60726627,0.01956736,43138.0,0.0032093,19760.88719913,0.45808538,7236.03525888,0.16774156,0.8238809,1.1886748,0,19.99394355,2.11692642,18.49042479
92,0.61301164,0.01950445,43138.0,0.0032093,16076.1902771,0.37266888,7339.25202765,0.17013427,0.81287999,1.20935112,0,19.69651152,1.76582751,18.18227181
486,0.61310631,0.01931805,43138.0,0.0032093,15049.26410099,0.34886328,7900.68288243,0.18314903,0.80764909,1.18781304,0,19.79105279,2.26352522,18.28710868
341,0.61787165,0.01924352,43138.0,0.0032093,19338.420411,0.448292,8053.8045803,0.18669861,0.82116262,1.20273512,0,19.83780888,2.0231097,18.41425843
492,0.621001,0.01911021,43138.0,0.0032093,18804.56700108,0.43591652,8409.10330736,0.19493494,0.82848822,1.20422085,0,20.18483967,2.2852466,18.72665861
246,0.62145002,0.01943658,43138.0,0.0032093,20083.61519267,0.46556667,7416.80330702,0.17193202,0.80206373,1.2040588,0,20.13147458,2.43120151,18.71960247
227,0.63016007,0.01902217,43138.0,0.0032093,31202.67401074,0.72332222,8536.66782487,0.19789206,0.79366961,1.21562425,0,20.20501115,2.81949915,18.7790025
224,0.63410893,0.01862801,43138.0,0.0032093,24209.75761174,0.56121651,9667.27541743,0.22410115,0.80408513,1.21438965,0,20.06293997,2.30442038,18.6043226
338,0.64141265,0.0185896,43138.0,0.0032093,26663.00805698,0.61808633,9672.9949382,0.22423374,0.8078211,1.19473177,0,20.06035741,2.38841439,18.6583373
342,0.64888312,0.01893446,43138.0,0.0032093,17559.79581039,0.40706096,8518.84485855,0.1974789,0.77124872,1.20047123,0,19.83844162,1.84675298,18.33194801
426,0.65618817,0.01937682,43138.0,0.0032093,17484.12315704,0.40530676,7072.75352394,0.16395645,0.82615252,1.20953332,0,19.81718467,1.95190746,18.42774215
457,0.65698197,0.0188654,43138.0,0.0032093,16629.9771094,0.38550645,8605.08739855,0.19947813,0.81228069,1.21831402,0,19.7707991,2.05948568,18.32113522
433,0.65921672,0.01924597,43138.0,0.0032093,12870.51567764,0.2983568,7422.16924462,0.17205641,0.81923184,1.22103832,0,19.78475648,1.83408776,18.28589528
193,0.66190666,0.01903615,43138.0,0.0032093,22733.13217174,0.52698623,8015.14188509,0.18580235,0.78475235,1.20043185,0,20.04009528,2.50205921,18.65207063
467,0.66513273,0.0199875,43138.0,0.0032093,18187.58183202,0.42161393,5093.68673072,0.11807888,0.82742088,1.20902356,0,19.75213017,2.07231949,18.39745638
32,0.66550113,0.01857653,43138.0,0.0032093,25545.07184951,0.59217098,9348.75049159,0.21671729,0.80414855,1.25321827,0,19.92918888,2.30049789,18.48164735
