month,strategy,forecast_energy_mwh,actual_energy_mwh,imbalance_volume_mwh,fixed_futures_cost_eur,day_ahead_scheduled_cost_eur,futures_payoff_eur,forecast_procurement_cost_eur,imbalance_settlement_eur,imbalance_premium_eur,final_procurement_cost_eur,final_average_price_eur_mwh,saving_vs_unhedged_eur,saving_vs_unhedged_eur_mwh,absolute_open_day_ahead_volume_mwh
2024-01,UNHEDGED,4266.445155,4283.25215978,16.80700478,0.0,347001.69192125,0.0,347001.69192125,1626.39377754,251.34558994,348628.08569879,81.39331347,0.0,0.0,4266.445155
2024-01,COARSE_CAL,4266.445155,4283.25215978,16.80700478,297498.40329033,50024.33577555,-521.04714463,347522.73906588,1626.39377754,251.34558994,349149.13284342,81.51496102,-521.04714463,-0.12164755,1311.72309933
2024-01,GRANULAR,4266.445155,4283.25215978,16.80700478,339688.94039424,1816.24302519,5496.50850183,341505.18341942,1626.39377754,251.34558994,343131.57719696,80.11005759,5496.50850183,1.28325588,1258.22831224
2024-02,UNHEDGED,3898.346562,3933.59986922,35.25330722,0.0,253640.41180469,0.0,253640.41180469,1578.11359848,-704.76111259,255218.52540317,64.88166918,0.0,0.0,3898.346562
2024-02,COARSE_CAL,3898.346562,3933.59986922,35.25330722,277294.21357878,32034.43805692,-55688.23983101,309328.6516357,1578.11359848,-704.76111259,310906.76523418,79.03873693,-55688.23983101,-14.15706775,1180.04683846
2024-02,GRANULAR,3898.346562,3933.59986922,35.25330722,245756.49415635,2910.0859695,4973.83167884,248666.58012585,1578.11359848,-704.76111259,250244.69372433,63.61722139,4973.83167884,1.26444779,1147.18284557
2024-03,UNHEDGED,3930.237981,3967.70122271,37.46324171,0.0,260237.26481129,0.0,260237.26481129,4026.90619155,1698.80708851,264264.17100284,66.60384847,0.0,0.0,3930.237981
2024-03,COARSE_CAL,3930.237981,3967.70122271,37.46324171,293242.44490978,13940.93892072,-46946.11901921,307183.3838305,4026.90619155,1698.80708851,311210.29002205,78.43591857,-46946.11901921,-11.8320701,1166.79195955
2024-03,GRANULAR,3930.237981,3967.70122271,37.46324171,255419.47178362,-127.65262761,4945.44565528,255291.81915601,4026.90619155,1698.80708851,259318.72534755,65.35742255,4945.44565528,1.24642592,1154.9379574
2024-04,UNHEDGED,3548.440942,3556.84729518,8.40635318,0.0,224229.79218063,0.0,224229.79218063,872.94783265,373.50151189,225102.74001328,63.28715329,0.0,0.0,3548.440942
2024-04,COARSE_CAL,3548.440942,3556.84729518,8.40635318,287396.30843456,-6258.23539387,-56908.28086006,281138.07304069,872.94783265,373.50151189,282011.02087334,79.28679459,-56908.28086006,-15.99964129,949.66545375
2024-04,GRANULAR,3548.440942,3556.84729518,8.40635318,219433.77375239,14984.95773456,-10188.93930632,234418.73148695,872.94783265,373.50151189,235291.6793196,66.15175176,-10188.93930632,-2.86459847,980.633108
2024-05,UNHEDGED,3367.841365,3325.24083843,-42.60052657,0.0,220958.66588772,0.0,220958.66588772,-82.96183135,1421.8584017,220875.70405637,66.42397191,0.0,0.0,3367.841365
2024-05,COARSE_CAL,3367.841365,3325.24083843,-42.60052657,297498.40329033,-29551.84061521,-46987.8967874,267946.56267512,-82.96183135,1421.8584017,267863.60084378,80.55464667,-46987.8967874,-14.13067476,957.5306439
2024-05,GRANULAR,3367.841365,3325.24083843,-42.60052657,227096.01586957,-6569.9608155,432.61083364,220526.05505408,-82.96183135,1421.8584017,220443.09322273,66.29387282,432.61083364,0.1300991,869.95884772
2024-06,UNHEDGED,3073.390725,3108.6364379,35.2457129,0.0,222167.244131,0.0,222167.244131,9396.96110944,7094.98039094,231564.20524044,74.4906038,0.0,0.0,3073.390725
2024-06,COARSE_CAL,3073.390725,3108.6364379,35.2457129,283479.67412488,-41162.9769132,-20149.45308068,242316.69721168,9396.96110944,7094.98039094,251713.65832112,80.97236951,-20149.45308068,-6.48176571,935.09293495
2024-06,GRANULAR,3073.390725,3108.6364379,35.2457129,216825.40131161,-16997.56726371,22339.41008309,199827.83404791,9396.96110944,7094.98039094,209224.79515734,67.30436297,22339.41008309,7.18624083,789.10116813
2024-07,UNHEDGED,3081.666338,3088.11319086,6.44685286,0.0,205193.54144518,0.0,205193.54144518,1511.47478181,914.85036476,206705.01622699,66.93569939,0.0,0.0,3081.666338
2024-07,COARSE_CAL,3081.666338,3088.11319086,6.44685286,297498.40329033,-46583.13583013,-45721.72601502,250915.2674602,1511.47478181,914.85036476,252426.74224201,81.74141511,-45721.72601502,-14.80571572,991.92484754
2024-07,GRANULAR,3081.666338,3088.11319086,6.44685286,243368.60851501,-13629.8977233,-24545.16934654,229738.71079172,1511.47478181,914.85036476,231250.18557353,74.88397325,-24545.16934654,-7.94827386,741.51551207
2024-08,UNHEDGED,3143.987629,3103.68760887,-40.30002013,0.0,252512.19086648,0.0,252512.19086648,-4478.98879667,-1008.53682459,248033.20206981,79.91564659,0.0,0.0,3143.987629
2024-08,COARSE_CAL,3143.987629,3103.68760887,-40.30002013,295540.08613549,-50814.96489705,7787.06962804,244725.12123844,-4478.98879667,-1008.53682459,240246.13244177,77.4066732,7787.06962804,2.50897339,974.22681363
2024-08,GRANULAR,3143.987629,3103.68760887,-40.30002013,242091.18857118,-11207.95046711,21628.95276242,230883.23810406,-4478.98879667,-1008.53682459,226404.24930739,72.94685479,21628.95276242,6.9687918,767.48122549
2024-09,UNHEDGED,3199.165649,3230.85804289,31.69239389,0.0,253215.21737725,0.0,253215.21737725,1735.67843012,-273.50255777,254950.89580737,78.91120329,0.0,0.0,3199.165649
2024-09,COARSE_CAL,3199.165649,3230.85804289,31.69239389,285437.99127972,-33579.57711873,1356.80321626,251858.41416099,1735.67843012,-273.50255777,253594.0925911,78.49125193,1356.80321626,0.41995136,930.05690785
2024-09,GRANULAR,3199.165649,3230.85804289,31.69239389,233910.9315368,4210.2365962,15094.04924425,238121.168133,1735.67843012,-273.50255777,239856.84656312,74.23936409,15094.04924425,4.6718392,829.2900764
2024-10,UNHEDGED,3591.359306,3678.99003669,87.63073069,0.0,326351.3721063,0.0,326351.3721063,8404.65849482,232.80683053,334756.03060112,90.99128491,0.0,0.0,3591.359306
2024-10,COARSE_CAL,3591.359306,3678.99003669,87.63073069,297837.72736121,-9860.87302955,38374.51777465,287976.85433165,8404.65849482,232.80683053,296381.51282647,80.56056414,38374.51777465,10.43072077,970.05238976
2024-10,GRANULAR,3591.359306,3678.99003669,87.63073069,430906.67873442,-34046.98272152,-70508.3239066,396859.6960129,8404.65849482,232.80683053,405264.35450772,110.15641534,-70508.3239066,-19.16513043,1072.67697215
2024-11,UNHEDGED,3726.491235,3735.99938926,9.50815426,0.0,451681.66318285,0.0,451681.66318285,3047.44576972,881.25258403,454729.10895257,121.71552015,0.0,0.0,3726.491235
2024-11,COARSE_CAL,3726.491235,3735.99938926,9.50815426,285437.99127972,20731.70661706,145511.96528607,306169.69789678,3047.44576972,881.25258403,309217.1436665,82.76691494,145511.96528607,38.94860521,1091.82900388
2024-11,GRANULAR,3726.491235,3735.99938926,9.50815426,412217.38213155,-10334.43979691,49798.7208482,401882.94233465,3047.44576972,881.25258403,404930.38810437,108.3860959,49798.7208482,13.32942425,1124.52911794
2024-12,UNHEDGED,4172.627113,4125.07390819,-47.55320481,0.0,489514.935269,0.0,489514.935269,2865.21044047,2706.64165248,492380.14570947,119.36274517,0.0,0.0,4172.627113
2024-12,COARSE_CAL,4172.627113,4125.07390819,-47.55320481,295540.08613549,58345.09477696,135629.75435654,353885.18091246,2865.21044047,2706.64165248,356750.39135292,86.48339382,135629.75435654,32.87935135,1301.18824316
2024-12,GRANULAR,4172.627113,4125.07390819,-47.55320481,426991.03006078,26794.35532922,35729.549879,453785.38539,2865.21044047,2706.64165248,456650.59583047,110.7011913,35729.549879,8.66155387,1249.61184678
