quote_date,delivery_year,load_type,product_type,delivery_period,delivery_start,delivery_end_exclusive,price_eur_mwh,market_activity
2023-09-29,2024,BASE,YEAR,CAL,2024-01-01,2025-01-01,77.26,5000
2023-09-29,2024,PEAK,YEAR,CAL,2024-01-01,2025-01-01,86.6,1400
2023-09-29,2024,BASE,QUARTER,Q1,2024-01-01,2024-04-01,66.42,3000
2023-09-29,2024,PEAK,QUARTER,Q1,2024-01-01,2024-04-01,77.7,840
2023-09-29,2024,BASE,QUARTER,Q2,2024-04-01,2024-07-01,66.23,2200
2023-09-29,2024,PEAK,QUARTER,Q2,2024-04-01,2024-07-01,64.76,616
2023-09-29,2024,BASE,QUARTER,Q3,2024-07-01,2024-10-01,74.74,1600
2023-09-29,2024,PEAK,QUARTER,Q3,2024-07-01,2024-10-01,69.07,448
2023-09-29,2024,BASE,QUARTER,Q4,2024-10-01,2025-01-01,101.39,1400
2023-09-29,2024,PEAK,QUARTER,Q4,2024-10-01,2025-01-01,134.42,392
2023-09-29,2024,BASE,MONTH,M01,2024-01-01,2024-02-01,75.32,900
2023-09-29,2024,PEAK,MONTH,M01,2024-01-01,2024-02-01,88.68,252
2023-09-29,2024,BASE,MONTH,M02,2024-02-01,2024-03-01,60.09,800
2023-09-29,2024,PEAK,MONTH,M02,2024-02-01,2024-03-01,70.59,224
2023-09-29,2024,BASE,MONTH,M03,2024-03-01,2024-04-01,63.45,650
2023-09-29,2024,PEAK,MONTH,M03,2024-03-01,2024-04-01,72.79,182
2023-09-29,2024,BASE,MONTH,M04,2024-04-01,2024-05-01,67.11,10
2023-09-29,2024,PEAK,MONTH,M04,2024-04-01,2024-05-01,72.56,3
2023-09-29,2024,BASE,MONTH,M05,2024-05-01,2024-06-01,60.96,8
2023-09-29,2024,PEAK,MONTH,M05,2024-05-01,2024-06-01,52.4,2
2023-09-29,2024,BASE,MONTH,M06,2024-06-01,2024-07-01,79.64,7
2023-09-29,2024,PEAK,MONTH,M06,2024-06-01,2024-07-01,80.57,2
2023-09-29,2024,BASE,MONTH,M07,2024-07-01,2024-08-01,59.45,6
2023-09-29,2024,PEAK,MONTH,M07,2024-07-01,2024-08-01,49.47,2
2023-09-29,2024,BASE,MONTH,M08,2024-08-01,2024-09-01,84.8,5
2023-09-29,2024,PEAK,MONTH,M08,2024-08-01,2024-09-01,74.16,1
2023-09-29,2024,BASE,MONTH,M09,2024-09-01,2024-10-01,73.06,4
2023-09-29,2024,PEAK,MONTH,M09,2024-09-01,2024-10-01,76.62,1
2023-09-29,2024,BASE,MONTH,M10,2024-10-01,2024-11-01,91.85,3
2023-09-29,2024,PEAK,MONTH,M10,2024-10-01,2024-11-01,111.59,1
2023-09-29,2024,BASE,MONTH,M11,2024-11-01,2024-12-01,106.66,2
2023-09-29,2024,PEAK,MONTH,M11,2024-11-01,2024-12-01,140.84,1
2023-09-29,2024,BASE,MONTH,M12,2024-12-01,2025-01-01,112.07,1
2023-09-29,2024,PEAK,MONTH,M12,2024-12-01,2025-01-01,159.75,1
