timestamp_utc,timestamp_local,imbalance_price_eur_mwh
2023-12-31T23:00:00Z,2024-01-01T00:00:00+01:00,75.15
2023-12-31T23:15:00Z,2024-01-01T00:15:00+01:00,78.53
2023-12-31T23:30:00Z,2024-01-01T00:30:00+01:00,83.17
2023-12-31T23:45:00Z,2024-01-01T00:45:00+01:00,75.15
2024-01-01T00:00:00Z,2024-01-01T01:00:00+01:00,79.13
2024-01-01T00:15:00Z,2024-01-01T01:15:00+01:00,80.89
2024-01-01T00:30:00Z,2024-01-01T01:30:00+01:00,75.15
2024-01-01T00:45:00Z,2024-01-01T01:45:00+01:00,75.15
2024-01-01T01:00:00Z,2024-01-01T02:00:00+01:00,89.45
2024-01-01T01:15:00Z,2024-01-01T02:15:00+01:00,88.67
2024-01-01T01:30:00Z,2024-01-01T02:30:00+01:00,85.15
2024-01-01T01:45:00Z,2024-01-01T02:45:00+01:00,75.15
2024-01-01T02:00:00Z,2024-01-01T03:00:00+01:00,95.74
2024-01-01T02:15:00Z,2024-01-01T03:15:00+01:00,100.87
2024-01-01T02:30:00Z,2024-01-01T03:30:00+01:00,75.15
2024-01-01T02:45:00Z,2024-01-01T03:45:00+01:00,75.15
2024-01-01T03:00:00Z,2024-01-01T04:00:00+01:00,75.15
2024-01-01T03:15:00Z,2024-01-01T04:15:00+01:00,2.23
2024-01-01T03:30:00Z,2024-01-01T04:30:00+01:00,1.66
2024-01-01T03:45:00Z,2024-01-01T04:45:00+01:00,88.52
2024-01-01T04:00:00Z,2024-01-01T05:00:00+01:00,101.29
2024-01-01T04:15:00Z,2024-01-01T05:15:00+01:00,96.26
2024-01-01T04:30:00Z,2024-01-01T05:30:00+01:00,102.33
2024-01-01T04:45:00Z,2024-01-01T05:45:00+01:00,105.58
2024-01-01T05:00:00Z,2024-01-01T06:00:00+01:00,-11.0
2024-01-01T05:15:00Z,2024-01-01T06:15:00+01:00,113.55
2024-01-01T05:30:00Z,2024-01-01T06:30:00+01:00,-55.87
2024-01-01T05:45:00Z,2024-01-01T06:45:00+01:00,75.15
2024-01-01T06:00:00Z,2024-01-01T07:00:00+01:00,75.15
2024-01-01T06:15:00Z,2024-01-01T07:15:00+01:00,75.15
2024-01-01T06:30:00Z,2024-01-01T07:30:00+01:00,-59.16
2024-01-01T06:45:00Z,2024-01-01T07:45:00+01:00,-59.17
2024-01-01T07:00:00Z,2024-01-01T08:00:00+01:00,-58.92
2024-01-01T07:15:00Z,2024-01-01T08:15:00+01:00,-57.68
2024-01-01T07:30:00Z,2024-01-01T08:30:00+01:00,-42.74
2024-01-01T07:45:00Z,2024-01-01T08:45:00+01:00,-38.94
2024-01-01T08:00:00Z,2024-01-01T09:00:00+01:00,-20.4
2024-01-01T08:15:00Z,2024-01-01T09:15:00+01:00,-6.92
2024-01-01T08:30:00Z,2024-01-01T09:30:00+01:00,84.9
2024-01-01T08:45:00Z,2024-01-01T09:45:00+01:00,-29.21
2024-01-01T09:00:00Z,2024-01-01T10:00:00+01:00,84.35
2024-01-01T09:15:00Z,2024-01-01T10:15:00+01:00,-47.64
2024-01-01T09:30:00Z,2024-01-01T10:30:00+01:00,-60.49
2024-01-01T09:45:00Z,2024-01-01T10:45:00+01:00,-68.86
2024-01-01T10:00:00Z,2024-01-01T11:00:00+01:00,75.15
2024-01-01T10:15:00Z,2024-01-01T11:15:00+01:00,75.15
2024-01-01T10:30:00Z,2024-01-01T11:30:00+01:00,-33.41
2024-01-01T10:45:00Z,2024-01-01T11:45:00+01:00,-55.75
2024-01-01T11:00:00Z,2024-01-01T12:00:00+01:00,-38.46
2024-01-01T11:15:00Z,2024-01-01T12:15:00+01:00,-42.23
2024-01-01T11:30:00Z,2024-01-01T12:30:00+01:00,-46.02
2024-01-01T11:45:00Z,2024-01-01T12:45:00+01:00,83.07
2024-01-01T12:00:00Z,2024-01-01T13:00:00+01:00,104.64
2024-01-01T12:15:00Z,2024-01-01T13:15:00+01:00,119.0
2024-01-01T12:30:00Z,2024-01-01T13:30:00+01:00,99.71
2024-01-01T12:45:00Z,2024-01-01T13:45:00+01:00,116.19
2024-01-01T13:00:00Z,2024-01-01T14:00:00+01:00,114.32
2024-01-01T13:15:00Z,2024-01-01T14:15:00+01:00,135.09
