strategy,optimization_period,load_type,delivery_period,volume_mw,delivery_hours,hedged_energy_mwh,futures_price_eur_mwh,market_activity,contract_cost_eur,hpfc_value_eur,quote_date
COARSE_CAL,CAL,BASE,CAL,4.39197607,8784.0,38579.11776525,77.26,5000,2980622.63854288,2980600.59111729,2023-09-29
COARSE_CAL,CAL,PEAK,CAL,1.88444684,3144.0,5924.70086106,86.6,1400,513079.09456775,513105.32613182,2023-09-29
GRANULAR,M01,BASE,M01,5.04365462,744.0,3752.47903506,75.32,900,282636.72092076,282636.7212486,2023-09-29
GRANULAR,M01,PEAK,M01,2.33097587,276.0,643.34934003,88.68,252,57052.21947348,57052.21952709,2023-09-29
GRANULAR,M02,BASE,M02,4.93309141,696.0,3433.43161818,60.09,800,206314.90593629,206314.90579323,2023-09-29
GRANULAR,M02,PEAK,M02,2.21722962,252.0,558.74186457,70.59,224,39441.58822006,39441.58822006,2023-09-29
GRANULAR,M03,BASE,M03,4.65088745,743.0,3455.60937614,63.45,650,219258.41491624,219258.41495344,2023-09-29
GRANULAR,M03,PEAK,M03,1.97137323,252.0,496.78605396,72.79,182,36161.05686738,36161.05686738,2023-09-29
GRANULAR,Q2,BASE,Q2,3.99998484,2184.0,8735.9668822,66.23,2200,578583.08660834,578583.08654434,2023-09-29
GRANULAR,Q2,PEAK,Q2,1.67823016,780.0,1309.01952324,64.76,616,84772.10432524,84772.10426315,2023-09-29
GRANULAR,Q3,BASE,Q3,3.8482501,2208.0,8496.93620993,74.74,1600,635061.0123298,635061.01227977,2023-09-29
GRANULAR,Q3,PEAK,Q3,1.54121416,792.0,1220.64161421,69.07,448,84309.71629319,84309.71632556,2023-09-29
GRANULAR,Q4,BASE,Q4,4.65614877,2209.0,10285.4326409,101.39,1400,1042840.01546106,1042840.01570318,2023-09-29
GRANULAR,Q4,PEAK,Q4,2.13482725,792.0,1690.78318305,134.42,392,227275.0754657,227275.07552334,2023-09-29
